id,dateAdded,dateUpdated,address,city,province,postalCode,latitude,longitude,primaryCategories,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,priceRangeMin,priceRangeMax
0,2017-06-30T05:05:40Z,2019-05-01T15:43:09Z,4203 E Kiehl Ave,Sherwood,AR,72120,34.8323,-92.1838,Accommodation & Food Services,http://www.citysearch.com/profile/menu/1550074?singlePlatformId=shotgun-dans-pizza,7.98,7.98,,Cheese Pizza,Shotgun Dans Pizza,0,25
1,2016-04-02T04:02:49Z,2019-05-01T15:27:50Z,25 E Camelback Rd,Phoenix,AZ,85012,33.509266,-112.073044,Accommodation & Food Services,,6,6,,Pizza Cookie,Sauce Pizza Wine,0,25
2,2016-03-03T18:39:49Z,2019-05-01T12:52:25Z,3703 Paxton Ave,Cincinnati,OH,45209,39.144883,-84.432685,Accommodation & Food Services,http://www.citysearch.com/profile/menu/8160503?singlePlatformId=mios-pizzeria-4,6.49,6.49,a saucelessampcomma double cheese pizza with a garlic accentampcomma served with tomatoes on a sesame seed crust,Pizza Blanca,Mios Pizzeria,0,25
3,2016-03-29T05:08:59Z,2019-05-01T12:52:20Z,30495 John R Rd,Madison Heights,MI,48071,42.516669,-83.10663,Accommodation & Food Services,,5.99,5.99,,Small Pizza,Hungry Howies Pizza,25,40
4,2016-03-31T02:34:04Z,2019-05-01T12:50:45Z,3600 Eastern Ave,Baltimore,MD,21224,39.28663,-76.566984,Accommodation & Food Services,,5.49,5.49,,Pizza Sub,Spartan Pizzeria,0,25
5,2016-03-31T02:34:04Z,2019-05-01T12:50:45Z,3600 Eastern Ave,Baltimore,MD,21224,39.28663,-76.566984,Accommodation & Food Services,,10.99,10.99,,White Pizza,Spartan Pizzeria,0,25
6,2016-04-22T02:28:48Z,2019-05-01T12:50:22Z,1834 Euclid Ave,Berkeley,CA,94709,37.875496,-122.260345,Accommodation & Food Services,,4.99,4.99,,Two Topping Pizza,La Vals,0,25
7,2016-04-22T02:28:48Z,2019-05-01T12:50:22Z,1834 Euclid Ave,Berkeley,CA,94709,37.875496,-122.260345,Accommodation & Food Services,,5.39,5.39,,Three Or More Topping Pizza,La Vals,0,25
8,2016-04-01T06:35:24Z,2019-05-01T12:49:06Z,4819 Kerry Forest Pkwy,Tallahassee,FL,32309,30.537097,-84.215156,Accommodation & Food Services,,2.5,2.5,,Pizza,Brickyard Pizza,0,25
9,2016-04-01T06:35:24Z,2019-05-01T12:49:06Z,4819 Kerry Forest Pkwy,Tallahassee,FL,32309,30.537097,-84.215156,Accommodation & Food Services,,11.99,11.99,,Pizza,Brickyard Pizza,0,25
10,2016-03-29T04:47:31Z,2019-05-01T12:42:34Z,4061 28th St SE,Grand Rapids,MI,49512,42.912878,-85.566939,Accommodation & Food Services,,7.43,7.43,,Kids Cheese Pizza,Carrabbas Italian Grill,25,40
11,2016-03-29T04:47:31Z,2019-05-01T12:42:34Z,4061 28th St SE,Grand Rapids,MI,49512,42.912878,-85.566939,Accommodation & Food Services,,18.21,18.21,,Create Your Own Pizza,Carrabbas Italian Grill,25,40
12,2016-03-29T04:47:31Z,2019-05-01T12:42:34Z,4061 28th St SE,Grand Rapids,MI,49512,42.912878,-85.566939,Accommodation & Food Services,,15.92,15.92,Prosciutto arugula and shaved Parmesan drizzled with balsamic glaze,Prosciutto Arugula Pizza,Carrabbas Italian Grill,25,40
13,2016-03-29T04:47:31Z,2019-05-01T12:42:34Z,4061 28th St SE,Grand Rapids,MI,49512,42.912878,-85.566939,Accommodation & Food Services,,7.43,7.43,,Kids Pepperoni Pizza,Carrabbas Italian Grill,25,40
14,2015-10-21T17:51:11Z,2019-05-01T12:42:05Z,146 N Glendora Ave,Glendora,CA,91741,34.137502,-117.865331,Accommodation & Food Services,http://www.singlepage.com/domenicos-jr,22,22,,Three Cheese Pizza,Domenicos Jr,0,25
15,2015-10-21T17:51:11Z,2019-05-01T12:42:05Z,146 N Glendora Ave,Glendora,CA,91741,34.137502,-117.865331,Accommodation & Food Services,http://www.singlepage.com/domenicos-jr,11.5,11.5,Topped with mozzarellaampcomma feta and ricotta,Three Cheese Pizza,Domenicos Jr,0,25
16,2015-10-21T17:51:11Z,2019-05-01T12:42:05Z,146 N Glendora Ave,Glendora,CA,91741,34.137502,-117.865331,Accommodation & Food Services,http://www.singlepage.com/domenicos-jr,7,7,Includes 1 toppingampcomma additional toppings for 075 each,Pizza Sandwich,Domenicos Jr,0,25
17,2016-05-24T00:41:59Z,2019-05-01T12:34:44Z,965 N Resler Dr,El Paso,TX,79912,31.862409,-106.558431,Accommodation & Food Services,http://www.citysearch.com/profile/menu/43189550?singlePlatformId=little-caesars-pizza-1507,5,5,pepperoni or cheese original round no limit carry out plus tax,HotNReady Large Pizza,Little Caesars Pizza,0,25
18,2016-03-28T05:25:49Z,2019-05-01T12:28:47Z,8111 Rowlock Way,Raleigh,NC,27613,35.884857,-78.737707,Accommodation & Food Services,,11.99,11.99,,"15"" Plain Cheese Pizza",Tonys Pizza,0,25
19,2016-06-14T02:11:51Z,2019-05-01T12:27:25Z,4111 Main St,Philadelphia,PA,19127,40.022413,-75.218579,Accommodation & Food Services,,4.5,4.5,,Pizza Fries,Mikes Pizza,0,25
20,2016-10-20T06:07:54Z,2019-05-01T12:24:14Z,4024 Canal St,New Orleans,LA,70119,29.974032,-90.100317,Accommodation & Food Services,,12.25,12.25,,Bacon & Blue Cheese Pizza,Theos Neighborhood Pizza,25,40
21,2016-10-20T06:07:54Z,2019-05-01T12:24:14Z,4024 Canal St,New Orleans,LA,70119,29.974032,-90.100317,Accommodation & Food Services,,12.25,12.25,,Chicken Pesto Pizza,Theos Neighborhood Pizza,25,40
22,2016-10-20T06:07:54Z,2019-05-01T12:24:14Z,4024 Canal St,New Orleans,LA,70119,29.974032,-90.100317,Accommodation & Food Services,,13.5,13.5,,Big Dave's Buffalo Chicken Pizza,Theos Neighborhood Pizza,25,40
23,2016-03-21T00:31:52Z,2019-05-01T06:28:42Z,1584 N Woodland Blvd,DeLand,FL,32720,29.046703,-81.303817,Accommodation & Food Services,http://www.citysearch.com/profile/menu/2349150?singlePlatformId=hungry-howies-pizza-129,4.89,4.89,pizza sauce pepperoni and mozzarella cheese,Pizza Sub,Hungry Howies Pizza,0,25
24,2016-03-21T00:31:52Z,2019-05-01T06:28:42Z,1584 N Woodland Blvd,DeLand,FL,32720,29.046703,-81.303817,Accommodation & Food Services,http://www.citysearch.com/profile/menu/2349150?singlePlatformId=hungry-howies-pizza-129,6.99,6.99,,1 Topping Pizza,Hungry Howies Pizza,0,25
25,2016-03-21T00:31:52Z,2019-05-01T06:28:42Z,1584 N Woodland Blvd,DeLand,FL,32720,29.046703,-81.303817,Accommodation & Food Services,http://www.citysearch.com/profile/menu/2349150?singlePlatformId=hungry-howies-pizza-129,19.99,19.99,,Plue 2 liter Soda with 2ampcomma Pizza,Hungry Howies Pizza,0,25
26,2016-03-21T00:31:52Z,2019-05-01T06:28:42Z,1584 N Woodland Blvd,DeLand,FL,32720,29.046703,-81.303817,Accommodation & Food Services,http://www.citysearch.com/profile/menu/2349150?singlePlatformId=hungry-howies-pizza-129,5,5,2nd pizza of equal or lesser value,Each 2nd Pizza,Hungry Howies Pizza,0,25
27,2015-10-23T03:51:31Z,2019-05-01T06:27:25Z,1477 York Ave,New York,NY,10075,40.770825,-73.95102,Accommodation & Food Services,,11.75,11.75,Round white pie topped with fresh mozzarella ricotta and Parmesan cheese,12ampquot White Pizza,Salvos Pizzabar,25,40
28,2015-10-23T03:51:31Z,2019-05-01T06:27:25Z,1477 York Ave,New York,NY,10075,40.770825,-73.95102,Accommodation & Food Services,,3.75,3.75,,2 Topping Pizza Slice,Salvos Pizzabar,25,40
29,2015-10-23T03:51:31Z,2019-05-01T06:27:25Z,1477 York Ave,New York,NY,10075,40.770825,-73.95102,Accommodation & Food Services,,3.5,3.5,,1 Topping Pizza Slice,Salvos Pizzabar,25,40
30,2015-10-23T03:51:31Z,2019-05-01T06:27:25Z,1477 York Ave,New York,NY,10075,40.770825,-73.95102,Accommodation & Food Services,,19.25,19.25,Round pie topped with fresh mozzarella cheese and spicy chicken,16ampquot Buffalo Chicken Pizza,Salvos Pizzabar,25,40
