City,Cost of Living Index,Cost of Living Plus Rent Index,Restaurant Price Index,Local Purchasing Power Index,us
"New York, NY, United States",100.0,100.0,100.0,100.0,14
"San Francisco, CA, United States",96.88,101.43,94.58,125.95,19
"Honolulu, HI, United States",93.72,79.63,86.72,113.58,14
"Anchorage, AK, United States",93.19,67.75,78.76,138.38,15
"Brooklyn, NY, United States",90.31,85.91,95.27,87.05,14
"Washington, DC, United States",88.5,79.87,86.23,131.53,16
"Santa Rosa, CA, United States",88.27,73.32,82.55,116.47,16
"Charleston, SC, United States",86.87,67.58,73.48,106.06,16
"Bellevue, WA, United States",85.97,74.24,82.29,186.0,14
"Seattle, WA, United States",85.51,75.66,80.27,140.0,13
"Berkeley, CA, United States",84.09,80.45,87.6,119.03,14
"Jersey City, NJ, United States",84.08,73.43,81.44,120.46,17
"Oakland, CA, United States",81.18,79.27,78.55,137.74,13
"Boston, MA, United States",80.46,78.39,83.08,124.57,12
"Hartford, CT, United States",79.85,61.73,72.82,84.71,14
"Albany, NY, United States",79.38,56.48,77.64,108.77,12
"Philadelphia, PA, United States",79.25,65.1,74.75,109.34,18
"Irvine, CA, United States",78.38,72.4,73.72,135.16,12
"Long Beach, CA, United States",77.95,67.17,77.97,128.82,16
"Los Angeles, CA, United States",77.66,74.25,81.71,114.51,17
"Chicago, IL, United States",77.33,67.01,78.52,133.7,13
"Boulder, CO, United States",77.16,65.98,68.35,112.76,13
"San Jose, CA, United States",76.28,76.43,83.14,170.91,14
"Burlington, VT, United States",76.11,59.87,78.69,76.97,16
"Pittsburgh, PA, United States",76.04,58.15,66.74,114.28,16
"Miami, FL, United States",75.83,67.3,81.89,89.99,11
"Santa Barbara, CA, United States",75.55,72.29,91.99,124.41,19
"Sacramento, CA, United States",75.54,60.75,77.91,145.88,16
"Portland, ME, United States",74.81,59.47,85.71,122.77,14
"West Palm Beach, FL, United States",74.79,59.34,82.5,119.13,21
"Everett, WA, United States",74.36,59.72,73.78,119.38,13
"Tacoma, WA, United States",74.21,57.36,71.47,130.05,12
"Portland, OR, United States",74.17,63.05,71.6,126.03,14
